Date,High,Low,Close,H - L,I H - Cp I,I L - Cp I,TR,Atr
1-Apr-10,48.7,47.79,48.16,0.91,,,0.91,
5-Apr-10,48.72,48.14,48.61,0.58,0.56,0.02,0.58,
6-Apr-10,48.9,48.39,48.75,0.51,0.29,0.22,0.51,
7-Apr-10,48.87,48.37,48.63,0.5,0.12,0.38,0.5,
8-Apr-10,48.82,48.24,48.74,0.58,0.19,0.39,0.58,
9-Apr-10,49.05,48.64,49.03,0.41,0.31,0.1,0.41,
12-Apr-10,49.2,48.94,49.07,0.26,0.17,0.09,0.26,
13-Apr-10,49.35,48.86,49.32,0.49,0.28,0.21,0.49,
14-Apr-10,49.92,49.5,49.91,0.42,0.6,0.18,0.6,
15-Apr-10,50.19,49.87,50.13,0.32,0.28,0.04,0.32,
16-Apr-10,50.12,49.2,49.53,0.92,0.01,0.93,0.93,
19-Apr-10,49.66,48.9,49.5,0.76,0.13,0.63,0.76,
20-Apr-10,49.88,49.43,49.75,0.45,0.38,0.07,0.45,
21-Apr-10,50.19,49.73,50.03,0.46,0.44,0.02,0.46,0.554285714
22-Apr-10,50.36,49.26,50.31,1.1,0.33,0.77,1.1,0.593265306
23-Apr-10,50.57,50.09,50.52,0.48,0.26,0.22,0.48,0.585174927
26-Apr-10,50.65,50.3,50.41,0.35,0.13,0.22,0.35,0.568376718
27-Apr-10,50.43,49.21,49.34,1.22,0.02,1.2,1.22,0.614921238
28-Apr-10,49.63,48.98,49.37,0.65,0.29,0.36,0.65,0.617426864
29-Apr-10,50.33,49.61,50.23,0.72,0.96,0.24,0.96,0.641896374
30-Apr-10,50.29,49.2,49.24,1.09,0.06,1.03,1.09,0.673903776
3-May-10,50.17,49.43,49.93,0.74,0.93,0.19,0.93,0.692196363
4-May-10,49.32,48.08,48.43,1.24,0.61,1.85,1.85,0.774896623
5-May-10,48.5,47.64,48.18,0.86,0.07,0.79,0.86,0.780975435
6-May-10,48.32,41.55,46.57,6.77,0.14,6.63,6.77,1.208762904
7-May-10,46.8,44.28,45.41,2.52,0.23,2.29,2.52,1.302422697
10-May-10,47.8,47.31,47.77,0.49,2.39,1.9,2.39,1.38010679
11-May-10,48.39,47.2,47.72,1.19,0.62,0.57,1.19,1.366527734
12-May-10,48.66,47.9,48.62,0.76,0.94,0.18,0.94,1.336061467
13-May-10,48.79,47.73,47.85,1.06,0.17,0.89,1.06,1.316342791
